Veteran Minimum,Devin Smith,Dropped
Veteran Minimum,Auden Tate,Won at $27
Bye Week,Jason Witten,Dropped
SKEET BALL,Donte Jackson,Dropped
SKEET BALL,Logan Ryan,Won at $0
Placeholder,Robbie Gould,Dropped
Placeholder,Ty Long,Won at $0
Peacocks,Dede Westbrook,Dropped
Peacocks,Jadeveon Clowney,Won at $8
Famous Amos,Antonio Brown,Dropped
Famous Amos,Von Miller,Won at $10
Bye Week,Cameron Jordan,Traded From Peacocks
Peacocks,Stefon Diggs,Traded From Bye Week
Peacocks,Josey Jewell,Dropped
Peacocks,Haason Reddick,Won at $0
Veteran Minimum,Mike Badgley,Dropped
Veteran Minimum,Devin Smith,Won at $2
Veteran Minimum,Shaun Dion Hamilton,Dropped
Veteran Minimum,Eric Wilson,Won at $3
SKEET BALL,Danny Amendola,Dropped
SKEET BALL,Jay Ajayi,Won at $3
2 Gurleys 1 Kupp,Johnathan Joseph,Won at $0
Veteran Minimum,Eddie Jackson,Dropped
Veteran Minimum,Devin McCourty,Won at $1
FUCK YOU MELVIN JUST PLAY,Josh Rosen,Won at $1
Veteran Minimum,Matt Bryant,Dropped
Veteran Minimum,Zane Gonzalez,Won at $2
FUCK YOU MELVIN JUST PLAY,Darrel Williams,Won at $2
SKEET BALL,Von Miller,Dropped
SKEET BALL,Clay Matthews,Won at $2
Veteran Minimum,Jadeveon Clowney,Dropped
Veteran Minimum,Markus Golden,Won at $3
FUCK YOU MELVIN JUST PLAY,Justin Jackson,Dropped
FUCK YOU MELVIN JUST PLAY,Jamison Crowder,Dropped
2 Gurleys 1 Kupp,Preston Smith,Dropped
Bye Week,Trey Hendrickson,Dropped
Bye Week,Jason Witten,Won at $0
Bye Week,D.J. Chark,Won at $3
Bye Week,Giovani Bernard,Dropped
2 Gurleys 1 Kupp,Leighton Vander Esch,Traded From SKEET BALL
2 Gurleys 1 Kupp,Mark Ingram,Traded From SKEET BALL
SKEET BALL,James Conner,Traded From 2 Gurleys 1 Kupp
SKEET BALL,Miles Sanders,Traded From 2 Gurleys 1 Kupp
SKEET BALL,Gardner Minshew,Traded From 2 Gurleys 1 Kupp
FUCK YOU MELVIN JUST PLAY,Benardrick McKinney,Dropped
FUCK YOU MELVIN JUST PLAY,Shaq Green-Thompson,Won at $0
2 Gurleys 1 Kupp,Preston Smith,Won at $0
FUCK YOU MELVIN JUST PLAY,Jarvis Landry,Won at $1
Team Suzy,Tahir Whitehead,Dropped
Team Suzy,Stephon Tuitt,Won at $4
Team Suzy,Robby Anderson,Dropped
Team Suzy,Phillip Dorsett,Won at $4
SKEET BALL,Kyle Fuller,Won at $4
Donalds Ducks,Jalen Richard,Dropped
Donalds Ducks,Jamaal Williams,Won at $5
2 Gurleys 1 Kupp,Shaquil Barrett,Won at $6
Donalds Ducks,Marquise Goodwin,Dropped
Donalds Ducks,Mecole Hardman,Won at $11
Peacocks,Kenyan Drake,Dropped
Peacocks,Wayne Gallman,Won at $18
FUCK YOU MELVIN JUST PLAY,Justice Hill,Dropped
2 Gurleys 1 Kupp,Jaylen Samuels,Dropped
2 Gurleys 1 Kupp,Ronald Darby,Dropped
SKEET BALL,Christian Kirksey,Dropped
SKEET BALL,Cameron Wake,Dropped
2 Gurleys 1 Kupp,Chris Boswell,Dropped
2 Gurleys 1 Kupp,Joey Slye,Won at $0
Veteran Minimum,Jared Cook,Dropped
Veteran Minimum,Blake Jarwin,Won at $1
Veteran Minimum,O.J. Howard,Dropped
Veteran Minimum,Will Dissly,Won at $1
Bye Week,Eli Manning,Dropped
Bye Week,Kyle Allen,Won at $3
Team Suzy,Sterling Shepard,Won at $4
Team Suzy,D.J. Chark,Dropped
