Team Suzy,Jerry Hughes,DL,Won at $0
Team Suzy,Josh Allen,QB,Dropped
Team Suzy,Grady Jarrett,DL,Won at $0
Odell Beckham Jesus,Jameis Winston,QB,Dropped
Odell Beckham Jesus,Logan Ryan,DB,Won at $0
Odell Beckham Jesus,Carlos Dunlap,DL,Dropped
Odell Beckham Jesus,Linval Joseph,DL,Won at $0
Odell Beckham Jesus,Kyle Van Noy,LB,Won at $0
Odell Beckham Jesus,Dustin Hopkins,K,Won at $0
Veteran Minimum,Chris Jones,DL,Dropped
Veteran Minimum,Marquez Valdes-Scantling,WR,Won at $1
2017 Cleveland Browns,Fletcher Cox,DL,Dropped
2017 Cleveland Browns,Lorenzo Alexander,LB,Won at $0
Veteran Minimum,Albert Wilson,WR,Dropped
Veteran Minimum,Tre'Quan Smith,WR,Won at $1
The Tank,Jason McCourty,DB,Dropped
The Tank,D.J. Swearinger,DB,Won at $4
Placeholder,Vance McDonald,TE,Dropped
Placeholder,James Bradberry,DB,Won at $0
Placeholder,Romeo Okwara,DL,Won at $0
2 Gurleys 1 Kupp,Everson Griffen,DL,Dropped
2 Gurleys 1 Kupp,Jurrell Casey,DL,Won at $0
2017 Cleveland Browns,C.J. Uzomah,TE,Dropped
2017 Cleveland Browns,Ed Dickson,TE,Won at $0
Placeholder,Randy Bullock,K,Dropped
Placeholder,Graham Gano,K,Won at $0
Garropoyolo,Javorius Allen,RB,Dropped
Garropoyolo,Eli Apple,DB,Won at $1
Peacocks,Zach Cunningham,LB,Dropped
Peacocks,Jon Bostic,LB,Won at $2
Peacocks,Josh Bynes,LB,Dropped
Peacocks,Thomas Davis,LB,Won at $2
Team Suzy,Josh Allen,QB,Won at $4
Team Suzy,C.J. Beathard,QB,Dropped
Placeholder,Raheem Mostert,RB,Dropped
Peacocks,Antone Exum,DB,Dropped
2 Gurleys 1 Kupp,Malcolm Brown,RB,Won at $0
Garropoyolo,Rashaad Penny,RB,Dropped
Garropoyolo,David Moore,WR,Won at $0
Team Suzy,Clayton Geathers,DB,Dropped
Team Suzy,Peyton Barber,RB,Won at $0
2 Gurleys 1 Kupp,Jerry Hughes,DL,Dropped
2 Gurleys 1 Kupp,Spencer Ware,RB,Won at $0
2017 Cleveland Browns,Frank Gore,RB,Dropped
2017 Cleveland Browns,Benardrick McKinney,LB,Won at $0
Garropoyolo,Marcus Davenport,DL,Dropped
Garropoyolo,Benjamin Watson,TE,Won at $1
SKEET BALL,Malcolm Butler,DB,Dropped
SKEET BALL,D.J. Moore,WR,Won at $1
Team Suzy,Arik Armstead,DL,Dropped
Team Suzy,DeVante Parker,WR,Won at $0
2 Gurleys 1 Kupp,Kenny Young,LB,Dropped
2 Gurleys 1 Kupp,Jaire Alexander,DB,Won at $0
FUCK YOU LEVEON JUST PLAY,Mike Adams,DB,Won at $0
Garropoyolo,Duke Ejiofor,DL,Dropped
Garropoyolo,Marcus Davenport,DL,Won at $0
SKEET BALL,Jurrell Casey,DL,Dropped
SKEET BALL,Chris Herndon,TE,Won at $2
Team Suzy,Jalen Mills,DB,Dropped
Team Suzy,Deion Jones,LB,Won at $4
SKEET BALL,Ka'imi Fairbairn,K,Dropped
SKEET BALL,Brett Maher,K,Won at $6
The Tank,Josh Allen,QB,Dropped
The Tank,Courtland Sutton,WR,Won at $15
It's Complicated,LeGarrette Blount,RB,Dropped
It's Complicated,Greg Olsen,TE,Won at $20
FUCK YOU LEVEON JUST PLAY,Geno Atkins,DL,Dropped
Garropoyolo,Chris Thompson,RB,Traded From FUCK YOU LEVEON JUST PLAY
Garropoyolo,Tarik Cohen,RB,Traded From FUCK YOU LEVEON JUST PLAY
FUCK YOU LEVEON JUST PLAY,A.J. Green,WR,Traded From Garropoyolo
FUCK YOU LEVEON JUST PLAY,Russell Wilson,QB,Traded From Garropoyolo
Odell Beckham Jesus,Alec Ogletree,LB,Dropped
