THE TANK,Marcus Mariota,QB | TEN,10
SKEET BALL,Ben Roethlisberger,QB | PIT,14
SKEET BALL,Michael Gallup,WR | DAL,1
SKEET BALL,Bilal Powell,RB | NYJ,1
SKEET BALL,Leighton Vander Esch,LB | DAL,1
SKEET BALL,James Bradberry,DB | CAR,1
SKEET BALL,Andrew Sendejo,DB | MIN,1
SKEET BALL,Terrance Mitchell,DB | CLE,1
SKEET BALL,Brandon Graham,DL | PHI,1
SKEET BALL,Mario Addison,DL | CAR,1
TEAM SUZY,Jimmy Garoppolo,QB | SF,20
TEAM SUZY,Christian McCaffrey,RB | CAR,41
TEAM SUZY,Devonta Freeman,RB | ATL,28
TEAM SUZY,Jarvis Landry,WR | CLE,15
TEAM SUZY,Kelvin Benjamin ,WR | KC,1
TEAM SUZY,Trey Burton,TE | CHI,5
TEAM SUZY,Duke Johnson,RB | CLE,2
TEAM SUZY,Deshaun Watson,QB | HOU,30
TEAM SUZY,Harrison Butker,K | KC,1
TEAM SUZY,Deion Jones,LB | ATL,9
TEAM SUZY,Tahir Whitehead,LB | OAK,1
TEAM SUZY,Shaquill Griffin,DB | SEA,2
TEAM SUZY,Adoree' Jackson,DB | TEN,2
TEAM SUZY,Darron Lee,LB | NYJ,1
TEAM SUZY,Josh Rosen,QB | ARI,6
TEAM SUZY,Jordan Wilkins,RB | IND,1
TEAM SUZY,Alshon Jeffery,WR | PHI,1
TEAM SUZY,Corey Clement,RB | PHI,1
TEAM SUZY,Robert Alford,DB | ATL,1
TEAM SUZY,Kenny Stills,WR | MIA,1
TEAM SUZY,Jurrell Casey,DL | TEN,1
TEAM SUZY,Khalil Mack,DL | CHI,14
TEAM SUZY,J.J. Watt,DL | HOU,16
VETERAN MINIMUM,Drew Brees,QB | NO,24
VETERAN MINIMUM,Alex Collins,RB | BAL,23
VETERAN MINIMUM,Kerryon Johnson,RB | DET,10
VETERAN MINIMUM,Antonio Brown,WR | PIT,47
VETERAN MINIMUM,Paul Richardson,WR | WAS,1
VETERAN MINIMUM,Travis Kelce,TE | KC,17
VETERAN MINIMUM,Anthony Miller,WR | CHI,1
VETERAN MINIMUM,Carson Wentz,QB | PHI,23
VETERAN MINIMUM,Jake Elliott,K | PHI,1
VETERAN MINIMUM,Eric Kendricks,LB | MIN,7
VETERAN MINIMUM,Roquan Smith,LB | CHI,4
VETERAN MINIMUM,Keanu Neal,DB | ATL,14
VETERAN MINIMUM,Derwin James,DB | LAC,9
VETERAN MINIMUM,Logan Ryan,DB | TEN,1
VETERAN MINIMUM,Ryan Tannehill,QB | MIA,2
VETERAN MINIMUM,Tremaine Edmunds,LB | BUF,1
VETERAN MINIMUM,Akiem Hicks,DL | CHI,1
VETERAN MINIMUM,Ricky Seals-Jones,TE | ARI,1
VETERAN MINIMUM,Christian Kirk,WR | ARI,1
VETERAN MINIMUM,Tre'Quan Smith,WR | NO,1
VETERAN MINIMUM,Vonn Bell,DB | NO,1
VETERAN MINIMUM,Demarcus Lawrence,DL | DAL,9
VETERAN MINIMUM,Linval Joseph,DL | MIN,1
